video_name,window_index,window_start_sec,window_end_sec,mean_motion_ratio,std_motion_ratio,mean_speed,max_speed,total_distance,stationary_ratio,active_ratio,mean_bbox_area_ratio,bbox_area_std,x_range,y_range,path_efficiency,direction_change_rate,high_turn_ratio,motion_peaks,missing_track_ratio,contour_count_mean,recorded_at,hour_of_day,is_daytime,stationary_ratio_z,mean_speed_z,total_distance_z,direction_change_rate_z,x_range_z,y_range_z,active_ratio_z,path_efficiency_z,label,pseudo_rule,label_id
1760193946278 (1).mp4,0,0.0,11.533823529411764,0.0436230468749999,0.2037477488457294,0.0096491047499707,0.1048608411474347,0.2315785139992973,0.875,0.125,0.0027973090277777,0.0068124034765629,0.1263087759288529,0.0701321849751435,0.4423969049232938,0.3490419468570707,0.1739130434782608,6.0,0.8333333333333334,0.2083333333333333,2025-10-11 14:45:46.278,14,1,0.7528521021352188,-0.6642914621940922,-0.6642914621940925,-0.4753464039148462,-0.36249829888935825,-0.8704531769275496,-0.7528521021352186,0.27906389918975427,activity_drop,low_active_ratio_low_distance,2
1760193946278 (1).mp4,1,4.011764705882353,15.545588235294115,3.436053240740741e-05,9.291171551903017e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2025-10-11 14:45:46.278,14,1,1.3925131539494082,-1.0091573759441952,-1.0091573759441963,-1.271919466006097,-1.0360576414113534,-1.226892323431029,-1.3925131539494078,-1.0622866861565246,long_static,high_stationary_low_distance,1
1760193964170 (1).mp4,0,0.0,12.082949308755762,0.0445059317129629,0.2036113118127634,0.0076986348903148,0.1198741905840585,0.1847672373675572,0.9166666666666666,0.0833333333333333,0.002531105324074,0.009950393572645,0.1198469033175393,0.0367095959935024,0.4038072427149753,0.2731819698773732,0.0869565217391304,6.0,0.875,0.1666666666666666,2025-10-11 14:46:04.170,14,1,0.9660724527399484,-0.7340026517626694,-0.7340026517626677,-0.648471768063798,-0.39695714496343404,-1.040319823671481,-0.9660724527399484,0.16205976689272086,activity_drop,low_active_ratio_low_distance,2
1760193964170 (1).mp4,1,4.202764976958526,16.285714285714285,0.0031716579861111,0.006026219554104,0.0076986348903148,0.1198741905840585,0.1847672373675572,0.9166666666666666,0.0833333333333333,0.002531105324074,0.009950393572645,0.1198469033175393,0.0367095959935024,0.4038072427149753,0.2731819698773732,0.0869565217391304,6.0,0.875,0.1666666666666666,2025-10-11 14:46:04.170,14,1,0.9660724527399484,-0.7340026517626694,-0.7340026517626677,-0.648471768063798,-0.39695714496343404,-1.040319823671481,-0.9660724527399484,0.16205976689272086,activity_drop,low_active_ratio_low_distance,2
1760193979860 (1).mp4,0,0.0,12.066153846153846,0.0435020616319444,0.2037453761672351,0.015074105689691,0.1731654083529203,0.3617785365525849,0.75,0.25,0.0018024811921296,0.0030224297365714,0.0616898270617246,0.1667113980092353,0.0237139023058748,0.3457153353903117,0.1739130434782608,6.0,0.7083333333333334,0.2916666666666667,2025-10-11 14:46:19.860,14,1,0.11319105032102951,-0.47039804361787757,-0.4703980436178775,-0.4829382968272164,-0.7070879474971629,-0.37959990783219383,-0.11319105032102922,-0.9903859644633093,normal,,0
1760193979860 (1).mp4,1,4.196923076923077,16.263076923076923,0.0005736400462962,0.0012385005837429,0.0,0.0,0.0,1.0,0.0,0.0001763237847222,0.0008638066041715,0.0,0.0,0.0,0.0,0.0,6.0,0.9583333333333334,0.0416666666666666,2025-10-11 14:46:19.860,14,1,1.3925131539494082,-1.0091573759441952,-1.0091573759441963,-1.271919466006097,-1.0360576414113534,-1.226892323431029,-1.3925131539494078,-1.0622866861565246,long_static,high_stationary_low_distance,1
1760194403716 (1).mp4,0,0.0,10.94019471488178,0.0615330222800925,0.2007630961401664,0.0756378846154254,0.2620461047298255,1.8153092307702092,0.5,0.5,0.0249224175347222,0.0334133072970968,0.4411409583508139,0.3754036092132214,0.2993813867989224,0.9840277126475904,0.5217391304347826,6.0,0.2916666666666667,1.625,2025-10-11 14:53:23.716,14,1,-0.9078376744752168,2.885759372102816,2.8857593721028145,0.7218807485562768,3.103739358724114,1.9613452884645948,0.9078376744752155,-0.4698269366982808,frequent_walking,high_speed_high_distance,3
1760194403716 (1).mp4,1,3.8052851182197496,14.745479833101529,0.0190921585648148,0.0179123183946052,0.0573473184851669,0.2620461047298255,1.3763356436440066,0.5,0.5,0.0294883897569444,0.0362169860199212,0.2261475046444856,0.3811171188096184,0.2110282365607994,1.118583563055558,0.5217391304347826,6.0,0.3333333333333333,1.125,2025-10-11 14:53:23.716,14,1,-0.9078376744752168,1.9406986254121295,1.9406986254121303,1.1619461157933362,1.005028935098846,2.017875403764405,0.9078376744752155,-0.8340015957451224,frequent_walking,high_speed_high_distance,3
1760194403716 (1).mp4,2,7.610570236439499,18.55076495132128,0.0210152633101851,0.0216629084756632,0.0381342430028225,0.2012793692352934,0.9152218320677412,0.5,0.5,0.0398952907986111,0.0461891174338432,0.2352956901283567,0.2688552736110002,0.2235259911419889,1.0070783219620971,0.4782608695652174,6.0,0.3333333333333333,0.875,2025-10-11 14:53:23.716,14,1,-0.9078376744752168,0.9479724663496976,0.9479724663496985,0.7972678448606806,1.094331152916525,0.9071439092641904,0.9078376744752155,-0.7824882597611843,frequent_walking,high_speed_high_distance,3
1760194403716 (1).mp4,3,11.415855354659248,22.356050069541027,0.0199612991898148,0.021863766344136,0.0351842845600956,0.2012793692352934,0.8444228294422947,0.5,0.5,0.0390907118055555,0.0463676254047904,0.2352956901283567,0.2688552736110002,0.2596532447008257,0.8710674402159954,0.4347826086956521,6.0,0.3333333333333333,0.8333333333333334,2025-10-11 14:53:23.716,14,1,-0.9078376744752168,0.7955501788854561,0.7955501788854551,0.35244379267446435,1.094331152916525,0.9071439092641904,0.9078376744752155,-0.6335786825516634,frequent_walking,high_speed_high_distance,3
